policy,probe,rounds,n_tuples,avg_hd_mean,avg_hd_std,min_hd_mean,max_hd_mean,zero_diff_total,full_diff_pct
Spiral-ATCG/BASE,input,2,16,159.9602,0.4936,134.8750,187.7500,0,100.00
Spiral-ATCG/BASE,input,3,16,159.9586,0.3751,134.0000,185.6250,0,100.00
Spiral-ATCG/BASE,input,4,16,159.8684,0.3402,134.2500,185.3750,0,100.00
Spiral-ATCG/BASE,input,6,16,160.2695,0.4530,134.5000,186.2500,0,100.00
Spiral-ATCG/BASE,input,8,16,159.9625,0.4231,134.8750,185.2500,0,100.00
Spiral-ATCG/BASE,input,12,16,159.9879,0.4159,134.3750,185.3750,0,100.00
Spiral-ATCG/BASE,seed,2,16,160.0908,0.4172,135.7500,186.2500,0,100.00
Spiral-ATCG/BASE,seed,3,16,159.7871,0.7146,136.7500,184.6250,0,100.00
Spiral-ATCG/BASE,seed,4,16,160.0112,0.5412,135.2500,184.6250,0,100.00
Spiral-ATCG/BASE,seed,6,16,159.9160,0.3608,134.8750,184.2500,0,100.00
Spiral-ATCG/BASE,seed,8,16,160.0679,0.4822,135.7500,185.1250,0,100.00
Spiral-ATCG/BASE,seed,12,16,159.8682,0.4160,133.8750,187.8750,0,100.00
Spiral-ATCG/BASE,nonce,2,16,160.1523,0.6598,136.6250,182.6250,0,100.00
Spiral-ATCG/BASE,nonce,3,16,160.3623,0.7579,138.0000,183.2500,0,100.00
Spiral-ATCG/BASE,nonce,4,16,159.8506,0.9530,136.0000,182.2500,0,100.00
Spiral-ATCG/BASE,nonce,6,16,160.0127,0.7262,137.6250,184.7500,0,100.00
Spiral-ATCG/BASE,nonce,8,16,159.8779,0.7791,137.7500,184.0000,0,100.00
Spiral-ATCG/BASE,nonce,12,16,160.0898,0.9577,136.5000,181.7500,0,100.00
Spiral-ATCG/SAFE,input,2,16,159.8453,0.5383,134.3750,185.6250,0,100.00
Spiral-ATCG/SAFE,input,3,16,159.9336,0.4545,134.7500,184.6250,0,100.00
Spiral-ATCG/SAFE,input,4,16,160.1117,0.5310,133.2500,186.6250,0,100.00
Spiral-ATCG/SAFE,input,6,16,159.9832,0.5371,132.7500,185.5000,0,100.00
Spiral-ATCG/SAFE,input,8,16,160.1500,0.3492,132.3750,186.3750,0,100.00
Spiral-ATCG/SAFE,input,12,16,159.8836,0.4800,133.1250,185.6250,0,100.00
Spiral-ATCG/SAFE,seed,2,16,159.9102,0.4957,135.5000,185.6250,0,100.00
Spiral-ATCG/SAFE,seed,3,16,159.9648,0.5446,135.7500,184.2500,0,100.00
Spiral-ATCG/SAFE,seed,4,16,160.0630,0.6326,136.1250,186.7500,0,100.00
Spiral-ATCG/SAFE,seed,6,16,159.8779,0.6912,135.1250,185.0000,0,100.00
Spiral-ATCG/SAFE,seed,8,16,159.9209,0.3646,132.7500,186.2500,0,100.00
Spiral-ATCG/SAFE,seed,12,16,159.9668,0.6779,134.2500,184.1250,0,100.00
Spiral-ATCG/SAFE,nonce,2,16,160.2480,0.4454,138.1250,183.7500,0,100.00
