policy,family,probe,metric,value
Spiral-ATCG/BASE,quantum_walk,bijectivity,collisions,0
Spiral-ATCG/SAFE,quantum_walk,bijectivity,collisions,0
Spiral-ATCG/AGGR,quantum_walk,bijectivity,collisions,0
Spiral-ATCG/NULL,quantum_walk,bijectivity,collisions,0
Spiral-ATCG/BASE,quantum_walk,kuwakado_morii_r2,worst_consistency,0.012695
Spiral-ATCG/SAFE,quantum_walk,kuwakado_morii_r2,worst_consistency,0.012695
Spiral-ATCG/AGGR,quantum_walk,kuwakado_morii_r2,worst_consistency,0.012695
Spiral-ATCG/NULL,quantum_walk,kuwakado_morii_r2,worst_consistency,0.011719
Spiral-ATCG/BASE,quantum_walk,kuwakado_morii_r4,worst_consistency,0.013672
Spiral-ATCG/SAFE,quantum_walk,kuwakado_morii_r4,worst_consistency,0.011719
Spiral-ATCG/AGGR,quantum_walk,kuwakado_morii_r4,worst_consistency,0.012695
Spiral-ATCG/NULL,quantum_walk,kuwakado_morii_r4,worst_consistency,0.011719
Spiral-ATCG/BASE,quantum_walk,kuwakado_morii_r16,worst_consistency,0.013672
Spiral-ATCG/SAFE,quantum_walk,kuwakado_morii_r16,worst_consistency,0.014648
Spiral-ATCG/AGGR,quantum_walk,kuwakado_morii_r16,worst_consistency,0.011719
Spiral-ATCG/NULL,quantum_walk,kuwakado_morii_r16,worst_consistency,0.011719
Spiral-ATCG/BASE,quantum_walk,recurrence,min_self_hd,138
Spiral-ATCG/BASE,quantum_walk,recurrence,steps_to_min,242
Spiral-ATCG/SAFE,quantum_walk,recurrence,min_self_hd,134
Spiral-ATCG/SAFE,quantum_walk,recurrence,steps_to_min,195
Spiral-ATCG/AGGR,quantum_walk,recurrence,min_self_hd,130
Spiral-ATCG/AGGR,quantum_walk,recurrence,steps_to_min,23
Spiral-ATCG/NULL,quantum_walk,recurrence,min_self_hd,136
Spiral-ATCG/NULL,quantum_walk,recurrence,steps_to_min,65
Spiral-ATCG/BASE,boomerang,standard_r16,exact_returns,0
Spiral-ATCG/BASE,boomerang,standard_r16,avg_hd_to_alpha,160.1338
Spiral-ATCG/SAFE,boomerang,standard_r16,exact_returns,0
Spiral-ATCG/SAFE,boomerang,standard_r16,avg_hd_to_alpha,159.7246
Spiral-ATCG/AGGR,boomerang,standard_r16,exact_returns,0
