==========================================================
Spiral-ATCG v2.2.4-full-scalar-cleanup extended security battery
==========================================================

policy,probe,metric,value
# === Probe 1: Differential (single-bit pt diff x 8192 samples) ===
Spiral-ATCG/BASE,differential,avg_hd,160.1335
Spiral-ATCG/BASE,differential,min_hd,125
Spiral-ATCG/BASE,differential,max_hd,191
Spiral-ATCG/BASE,differential,max_bucket_freq,0.000366
Spiral-ATCG/SAFE,differential,avg_hd,159.9834
Spiral-ATCG/SAFE,differential,min_hd,127
Spiral-ATCG/SAFE,differential,max_hd,195
Spiral-ATCG/SAFE,differential,max_bucket_freq,0.000488
Spiral-ATCG/AGGR,differential,avg_hd,159.9363
Spiral-ATCG/AGGR,differential,min_hd,125
Spiral-ATCG/AGGR,differential,max_hd,193
Spiral-ATCG/AGGR,differential,max_bucket_freq,0.000488
Spiral-ATCG/NULL,differential,avg_hd,160.0789
Spiral-ATCG/NULL,differential,min_hd,119
Spiral-ATCG/NULL,differential,max_hd,193
Spiral-ATCG/NULL,differential,max_bucket_freq,0.000488
# === Probe 2: Linear (64 mask pairs x 8192 samples) ===
Spiral-ATCG/BASE,linear,worst_abs_bias,0.011230
Spiral-ATCG/BASE,linear,avg_abs_bias,0.003677
Spiral-ATCG/SAFE,linear,worst_abs_bias,0.013428
Spiral-ATCG/SAFE,linear,avg_abs_bias,0.004745
Spiral-ATCG/AGGR,linear,worst_abs_bias,0.015503
Spiral-ATCG/AGGR,linear,avg_abs_bias,0.004627
Spiral-ATCG/NULL,linear,worst_abs_bias,0.010864
Spiral-ATCG/NULL,linear,avg_abs_bias,0.004230
# === Probe 3: Key-bit avalanche (256 bits x 8 tuples = 2048 cells) ===
Spiral-ATCG/BASE,key_avalanche,avg_hd,159.8779
Spiral-ATCG/BASE,key_avalanche,min_hd,128
Spiral-ATCG/BASE,key_avalanche,max_hd,190
Spiral-ATCG/SAFE,key_avalanche,avg_hd,159.7529
Spiral-ATCG/SAFE,key_avalanche,min_hd,132
Spiral-ATCG/SAFE,key_avalanche,max_hd,188
Spiral-ATCG/AGGR,key_avalanche,avg_hd,159.7881
Spiral-ATCG/AGGR,key_avalanche,min_hd,132
Spiral-ATCG/AGGR,key_avalanche,max_hd,188
Spiral-ATCG/NULL,key_avalanche,avg_hd,160.0049
Spiral-ATCG/NULL,key_avalanche,min_hd,128
Spiral-ATCG/NULL,key_avalanche,max_hd,186
# === Probe 4: Bit balance (320 output bits x 8192 samples) ===
Spiral-ATCG/BASE,bit_balance,worst_dev,0.019043
Spiral-ATCG/BASE,bit_balance,avg_dev,0.004464
Spiral-ATCG/SAFE,bit_balance,worst_dev,0.017700
Spiral-ATCG/SAFE,bit_balance,avg_dev,0.004170
Spiral-ATCG/AGGR,bit_balance,worst_dev,0.017700
Spiral-ATCG/AGGR,bit_balance,avg_dev,0.004409
Spiral-ATCG/NULL,bit_balance,worst_dev,0.018066
Spiral-ATCG/NULL,bit_balance,avg_dev,0.004252
# === Probe 5: Related-key differential (1024 random tuples) ===
Spiral-ATCG/BASE,related_key,avg_hd,160.2461
Spiral-ATCG/SAFE,related_key,avg_hd,159.8691
Spiral-ATCG/AGGR,related_key,avg_hd,159.7109
Spiral-ATCG/NULL,related_key,avg_hd,159.6289
# === Probe 6: Slide-attack collision search (8192 trials per policy) ===
Spiral-ATCG/BASE,slide_collision,trials,8192
Spiral-ATCG/BASE,slide_collision,collisions,0
Spiral-ATCG/SAFE,slide_collision,trials,8192
Spiral-ATCG/SAFE,slide_collision,collisions,0
Spiral-ATCG/AGGR,slide_collision,trials,8192
Spiral-ATCG/AGGR,slide_collision,collisions,0
Spiral-ATCG/NULL,slide_collision,trials,8192
Spiral-ATCG/NULL,slide_collision,collisions,0
# === Probe 7: Fixed-point search (8192 trials per policy) ===
Spiral-ATCG/BASE,fixed_point,trials,8192
Spiral-ATCG/BASE,fixed_point,fixed_points,0
Spiral-ATCG/SAFE,fixed_point,trials,8192
Spiral-ATCG/SAFE,fixed_point,fixed_points,0
Spiral-ATCG/AGGR,fixed_point,trials,8192
Spiral-ATCG/AGGR,fixed_point,fixed_points,0
Spiral-ATCG/NULL,fixed_point,trials,8192
Spiral-ATCG/NULL,fixed_point,fixed_points,0
# === Probe 8: Reduced-round diffusion (1-bit pt avalanche, 256 tuples) ===
Spiral-ATCG/BASE,reduced_round,r1_avg_hd,160.2266
Spiral-ATCG/SAFE,reduced_round,r1_avg_hd,159.4219
Spiral-ATCG/AGGR,reduced_round,r1_avg_hd,159.7422
Spiral-ATCG/NULL,reduced_round,r1_avg_hd,159.3438
Spiral-ATCG/BASE,reduced_round,r2_avg_hd,159.3281
Spiral-ATCG/SAFE,reduced_round,r2_avg_hd,159.6797
Spiral-ATCG/AGGR,reduced_round,r2_avg_hd,160.5391
Spiral-ATCG/NULL,reduced_round,r2_avg_hd,159.9297
Spiral-ATCG/BASE,reduced_round,r3_avg_hd,159.8359
Spiral-ATCG/SAFE,reduced_round,r3_avg_hd,159.5391
Spiral-ATCG/AGGR,reduced_round,r3_avg_hd,160.0391
Spiral-ATCG/NULL,reduced_round,r3_avg_hd,159.5859
Spiral-ATCG/BASE,reduced_round,r4_avg_hd,160.6406
Spiral-ATCG/SAFE,reduced_round,r4_avg_hd,159.6562
Spiral-ATCG/AGGR,reduced_round,r4_avg_hd,159.8438
Spiral-ATCG/NULL,reduced_round,r4_avg_hd,158.7578
Spiral-ATCG/BASE,reduced_round,r5_avg_hd,158.8281
Spiral-ATCG/SAFE,reduced_round,r5_avg_hd,160.4453
Spiral-ATCG/AGGR,reduced_round,r5_avg_hd,158.9375
Spiral-ATCG/NULL,reduced_round,r5_avg_hd,159.6016
Spiral-ATCG/BASE,reduced_round,r6_avg_hd,160.5625
Spiral-ATCG/SAFE,reduced_round,r6_avg_hd,159.1719
Spiral-ATCG/AGGR,reduced_round,r6_avg_hd,160.4453
Spiral-ATCG/NULL,reduced_round,r6_avg_hd,159.3984
Spiral-ATCG/BASE,reduced_round,r8_avg_hd,160.2266
Spiral-ATCG/SAFE,reduced_round,r8_avg_hd,159.3828
Spiral-ATCG/AGGR,reduced_round,r8_avg_hd,159.5469
Spiral-ATCG/NULL,reduced_round,r8_avg_hd,160.7656
Spiral-ATCG/BASE,reduced_round,r12_avg_hd,160.3203
Spiral-ATCG/SAFE,reduced_round,r12_avg_hd,160.3359
Spiral-ATCG/AGGR,reduced_round,r12_avg_hd,160.0000
Spiral-ATCG/NULL,reduced_round,r12_avg_hd,159.6641
Spiral-ATCG/BASE,reduced_round,r16_avg_hd,159.6641
Spiral-ATCG/SAFE,reduced_round,r16_avg_hd,159.5000
Spiral-ATCG/AGGR,reduced_round,r16_avg_hd,159.5938
